さあ名無しさん、ここは守りたい<><>2013/06/30(日) 17:44:59.48 ID:Ao3/luaA0<> どぞ <>【桜専用】セレッソ大阪実況スレvs浦和2ndleg
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:50:20.02 ID:PXKP1q3O0<> 先発 <br> GK21キム　ジンヒョン <br> DF 4藤本　康太 <br> DF14丸橋　祐介 <br> DF17酒本　憲幸 <br> DF23山下　達也 <br> MF 2扇原　貴宏 <br> MF 6山口　螢 <br> MF13南野　拓実 <br> MF30シンプリシオ <br> FW 8柿谷　曜一朗 <br> FW 9エジノ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:50:42.15 ID:PXKP1q3O0<> サブ <br> GK 1武田　洋平 <br> DF 7新井場　徹 <br> DF29小暮　大器 <br> MF10楠神　順平 <br> MF16枝村　匠馬 <br> MF18横山　知伸 <br> FW20杉本　健勇 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:51:48.56 ID:PXKP1q3O0<> GK18加藤　順大 <br> DF46森脇　良太　DF 4那須　大亮 <br> DF 5槙野　智章 <br> MF14平川　忠亮　MF22阿部　勇樹 <br> MF13鈴木　啓太　MF 7梅崎　司 <br> MF 8柏木　陽介　MF24原口　元気 <br> FW10マルシオ　リシャルデス <br>  <br> GK 1山岸　範宏 <br> DF 6山田　暢久　　　DF 2坪井　慶介 <br> MF 3宇賀神　友弥　MF29矢島　慎也 <br> MF11関口　訓充 <br> FW19阪野　豊史 <br>  <br> 原口復帰やね <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 17:54:47.62 ID:kom1be9E0<> ＩＤで出た数字の選手が大活躍 <>
さあ名無しさん、ここは守りたい<><>2013/06/30(日) 17:55:03.13 ID:t/o4D3+n0<> 向こうは0トップだな <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:55:31.64 ID:8pFdRjSF0<> ＩＤで出た数字の選手が大活躍 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:55:53.33 ID:8pFdRjSF0<> 曜一朗８ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!! <br> たのしみ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:56:12.48 ID:U4SXqCQX0<> 2ステージって何？ <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:56:31.16 ID:5KVPJVrO0<> 汚い字で２ステージ反対弾幕か。 <br>  <br> それは良いけど「サポーター」と書かずに「ファン」と書いたのは逃げ道か、それともライト層の総意でもあることをアピールしたかったのか。 <>
さあ名無しさん、ここは守りたい<>sage<>2013/06/30(日) 17:58:03.04 ID:PXKP1q3O0<> <a href="../test/read.cgi/livefoot/1372581899/10" target="_blank">&gt;&gt;10</a> <br> 確かにファンっていう言葉がちょっと気になった。 <br> まぁ気にしすぎかもしれんけど。 <br>  <br> それにしてもサポの若い女の子率がすごいね <>
